model,model_label,frame_index,forecast_date,q,q_eff,selected_cells,hit_count,hit_rate,miss_rate,area_coverage,hotspot_density_per_km2,pai,gain,lift,pei_star,oracle_hit_count,iou_jaccard,dice,centroid_distance_m
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.01,0.010012823440546666,570,22.0,0.13924050632911392,0.8607594936708861,0.010012823440546666,1.7153996101364524,13.906218076837662,0.13924050632911392,13.906218076837662,0.13924050632911392,158.0,0.01967799642218247,0.03859649122807018,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.02,0.02000808052418009,1139,35.0,0.22151898734177214,0.7784810126582279,0.02000808052418009,1.3657204175202418,11.071476200531222,0.22151898734177214,11.071476200531222,0.22151898734177214,158.0,0.017873100983020553,0.03511852502194908,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.03,0.030003337607813516,1708,49.0,0.310126582278481,0.689873417721519,0.030003337607813516,1.2750455373406193,10.336402780659887,0.310126582278481,10.336402780659887,0.310126582278481,158.0,0.01939719486720382,0.038056206088992975,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.04,0.04001616104836018,2278,57.0,0.36075949367088606,0.639240506329114,0.04001616104836018,1.1120866256950541,9.015344906146852,0.36075949367088606,9.015344906146852,0.36075949367088606,158.0,0.018783542039355994,0.03687445127304653,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.05,0.050011418131993605,2847,68.0,0.43037974683544306,0.5696202531645569,0.050011418131993605,1.061546267025719,8.605629732385411,0.43037974683544306,8.605629732385411,0.43037974683544306,158.0,0.020795984223736106,0.040744643484369514,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.06,0.06000667521562703,3416,70.0,0.4430379746835443,0.5569620253164558,0.06000667521562703,0.9107468123861566,7.383144843328491,0.4430379746835443,7.383144843328491,0.4430379746835443,158.0,0.02459508098380324,0.04800936768149883,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.07,0.07000193229926045,3985,77.0,0.4873417721518987,0.5126582278481013,0.07000193229926045,0.8587759654259027,6.961833140098153,0.4873417721518987,6.961833140098153,0.4873417721518987,158.0,0.026400515132002575,0.05144291091593475,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.08,0.08001475573980713,4555,83.0,0.5253164556962026,0.47468354430379744,0.08001475573980713,0.809854860348823,6.565244758159763,0.5253164556962026,6.565244758159763,0.5253164556962026,158.0,0.032879818594104306,0.06366630076838639,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.09,0.09001001282344055,5124,90.0,0.569620253164557,0.430379746835443,0.09001001282344055,0.78064012490242,6.328409865710135,0.569620253164557,6.328409865710135,0.569620253164557,158.0,0.04199288256227758,0.08060109289617487,1226.343129574201
our_vol1,Our vol1 STNPP-GAT,0,2020-01-01,0.1,0.10000526990707397,5693,95.0,0.6012658227848101,0.3987341772151899,0.10000526990707397,0.7416515408786619,6.012341383044245,0.6012658227848101,6.012341383044245,0.6012658227848101,158.0,0.04911084492766977,0.09362374846302476,1226.343129574201
