model,model_label,q,category,metric,mean,std,n,k,note
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,hit_count,28.0381679389313,8.414643445211514,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,hit_rate,0.15901428913736307,0.03600419287720215,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,miss_rate,0.840985710862637,0.036004192877202155,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,area_coverage,0.010012823440546666,0.0,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,hotspot_density_per_km2,2.1862119250628695,0.6561125493342312,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,pai,15.88106392582924,3.5958082244219063,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,pei_star,0.15901428913736307,0.03600419287720215,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,iou_jaccard,0.023857630801566863,0.007061293868888557,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,dice,0.04651131645908665,0.013456998799414446,131,,
our_vol1,Our vol1 STNPP-GAT,0.01,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,hit_count,42.3206106870229,11.101120647222631,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,hit_rate,0.2400542113208533,0.04118843379339987,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,miss_rate,0.7599457886791465,0.04118843379339988,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,area_coverage,0.02000808052418009,0.0,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,hotspot_density_per_km2,1.6513749170626437,0.43317220357907055,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,pai,11.9978631148922,2.0585899653703903,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,pei_star,0.2400542113208533,0.04118843379339987,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,iou_jaccard,0.019129651879879552,0.004426209880032394,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,dice,0.03750444008069219,0.008518626485404702,131,,
our_vol1,Our vol1 STNPP-GAT,0.02,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,hit_count,53.61068702290076,13.367913662131983,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,hit_rate,0.3030144243999997,0.04151891900305539,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,miss_rate,0.6969855756000002,0.0415189190030554,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,area_coverage,0.03000333760781352,3.482765415328467e-18,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,hotspot_density_per_km2,1.3950217804553935,0.34785099302971595,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,pai,10.099357223547297,1.3838100129314603,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,pei_star,0.3030144243999997,0.04151891900305539,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,iou_jaccard,0.021879201316532513,0.0038683448216386192,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,dice,0.04279367860271377,0.007406674885422639,131,,
our_vol1,Our vol1 STNPP-GAT,0.03,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,hit_count,62.961832061068705,14.752524988652292,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,hit_rate,0.3567014128893645,0.04400870110315415,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,miss_rate,0.6432985871106355,0.04400870110315415,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,area_coverage,0.04001616104836018,0.0,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,hotspot_density_per_km2,1.2284037081468873,0.2878260655282859,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,pai,8.913933859329612,1.0997731903859773,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,pei_star,0.3567014128893645,0.04400870110315415,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,iou_jaccard,0.021831214109989658,0.003363063256387589,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,dice,0.04270854975236078,0.006441910139328265,131,,
our_vol1,Our vol1 STNPP-GAT,0.04,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,hit_count,70.93129770992367,16.087831445247275,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,hit_rate,0.40235597622220337,0.04823206120523479,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,miss_rate,0.5976440237777966,0.04823206120523479,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,area_coverage,0.050011418131993605,0.0,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,hotspot_density_per_km2,1.1073066808714616,0.2511467266947239,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,pai,8.045282282543509,0.9644209863822973,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,pei_star,0.40235597622220337,0.04823206120523479,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,iou_jaccard,0.02337295712119005,0.002416533183520739,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,dice,0.04566746300511855,0.004615201757083451,131,,
our_vol1,Our vol1 STNPP-GAT,0.05,hotspot_ranking,centroid_distance_m,1197.5706860381972,718.9781162929551,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,hit_count,78.22900763358778,17.654620177817993,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,hit_rate,0.44324796590458065,0.04978021167789721,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,miss_rate,0.5567520340954193,0.04978021167789721,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,area_coverage,0.06000667521562704,6.965530830656934e-18,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,hotspot_density_per_km2,1.0178117048346054,0.2296984150119437,131,,
our_vol1,Our vol1 STNPP-GAT,0.06,hotspot_ranking,pai,7.386644307684445,0.8295779011087981,131,,
