model,model_label,frame_index,forecast_date,predicted_events,actual_events,cumulative_predicted_events,cumulative_actual_events,cumulative_error
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,0,2020-01-01,165.43746948242188,158.0,165.43746948242188,158.0,7.437469482421875
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,1,2020-01-15,165.241455078125,173.0,330.6789245605469,331.0,-0.321075439453125
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,2,2020-01-29,165.30996704101562,179.0,495.9888916015625,510.0,-14.0111083984375
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,3,2020-02-12,165.5084686279297,159.0,661.4973754882812,669.0,-7.50262451171875
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,4,2020-02-26,165.4937744140625,168.0,826.9911499023438,837.0,-10.00885009765625
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,5,2020-03-11,165.57492065429688,169.0,992.5660400390625,1006.0,-13.4339599609375
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,6,2020-03-25,165.40109252929688,167.0,1157.9671630859375,1173.0,-15.0328369140625
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,7,2020-04-08,165.67271423339844,149.0,1323.639892578125,1322.0,1.639892578125
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,8,2020-04-22,166.25973510742188,165.0,1489.899658203125,1487.0,2.899658203125
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,9,2020-05-06,167.01840209960938,164.0,1656.9180908203125,1651.0,5.9180908203125
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,10,2020-05-20,167.80429077148438,189.0,1824.722412109375,1840.0,-15.277587890625
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,11,2020-06-03,169.2866668701172,155.0,1994.009033203125,1995.0,-0.990966796875
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,12,2020-06-17,170.2321014404297,205.0,2164.2412109375,2200.0,-35.7587890625
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,13,2020-07-01,171.6595001220703,211.0,2335.900634765625,2411.0,-75.099365234375
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,14,2020-07-15,172.42208862304688,177.0,2508.32275390625,2588.0,-79.67724609375
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,15,2020-07-29,173.2096710205078,161.0,2681.532470703125,2749.0,-67.467529296875
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,16,2020-08-12,173.35385131835938,155.0,2854.88623046875,2904.0,-49.11376953125
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,17,2020-08-26,172.63037109375,167.0,3027.5166015625,3071.0,-43.4833984375
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,18,2020-09-09,172.74526977539062,143.0,3200.261962890625,3214.0,-13.738037109375
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,19,2020-09-23,172.037841796875,151.0,3372.2998046875,3365.0,7.2998046875
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,20,2020-10-07,171.8358612060547,151.0,3544.1357421875,3516.0,28.1357421875
our_vol2,Our vol2 ETAS-enhanced STNPP-GAT,21,2020-10-21,171.89407348632812,174.0,3716.02978515625,3690.0,26.02978515625
