model,model_label,frame_index,forecast_date,k,precision_at_k,hit_count_at_k
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,50,0.1,5.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,100,0.1,10.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,0,2020-01-01,500,0.046,23.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,20,0.15,4.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,50,0.14,8.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,100,0.12,13.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,1,2020-01-15,500,0.056,33.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,50,0.1,5.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,100,0.08,8.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,2,2020-01-29,500,0.044,22.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,20,0.15,3.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,50,0.08,5.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,100,0.08,9.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,3,2020-02-12,500,0.036,19.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,50,0.06,3.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,100,0.06,6.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,4,2020-02-26,500,0.028,14.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,20,0.15,3.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,50,0.12,6.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,100,0.13,13.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,5,2020-03-11,500,0.06,30.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,2020-03-25,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,2020-03-25,50,0.08,4.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,2020-03-25,100,0.07,7.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,6,2020-03-25,500,0.036,18.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,2020-04-08,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,2020-04-08,50,0.02,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,2020-04-08,100,0.05,5.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,7,2020-04-08,500,0.034,18.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,2020-04-22,20,0.1,2.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,2020-04-22,50,0.1,5.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,2020-04-22,100,0.06,6.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,8,2020-04-22,500,0.048,24.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,2020-05-06,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,2020-05-06,50,0.02,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,2020-05-06,100,0.04,4.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,9,2020-05-06,500,0.04,20.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,10,2020-05-20,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,10,2020-05-20,50,0.06,3.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,10,2020-05-20,100,0.07,7.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,10,2020-05-20,500,0.048,24.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,11,2020-06-03,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,11,2020-06-03,50,0.04,3.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,11,2020-06-03,100,0.05,6.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,11,2020-06-03,500,0.034,18.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,12,2020-06-17,20,0.0,0.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,12,2020-06-17,50,0.06,3.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,12,2020-06-17,100,0.07,7.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,12,2020-06-17,500,0.058,29.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,13,2020-07-01,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,13,2020-07-01,50,0.12,6.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,13,2020-07-01,100,0.09,9.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,13,2020-07-01,500,0.04,20.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,14,2020-07-15,20,0.05,1.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,14,2020-07-15,50,0.06,3.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,14,2020-07-15,100,0.05,5.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,14,2020-07-15,500,0.04,20.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,15,2020-07-29,20,0.2,4.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,15,2020-07-29,50,0.12,6.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,15,2020-07-29,100,0.07,7.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,15,2020-07-29,500,0.034,17.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,16,2020-08-12,20,0.1,2.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,16,2020-08-12,50,0.08,4.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,16,2020-08-12,100,0.05,5.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,16,2020-08-12,500,0.038,19.0
our_vol4,Our vol4 STNPP-GAT-HCL-ZINB,17,2020-08-26,20,0.1,2.0
