model,model_label,bin,n,mean_probability,observed_rate,abs_calibration_error
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,0,734436,6.002137549186388e-06,0.00039349922934060966,0.00038749709179142325
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,1,734370,7.230738142760559e-06,0.0005651102305377398,0.0005578794923949792
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,2,734465,7.784116868991786e-06,0.0006467292519044475,0.0006389451350354557
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,3,734291,8.241226754218946e-06,0.0007013568190267891,0.0006931155922725702
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,4,734358,8.726603933304087e-06,0.0006754198905710839,0.0006666932866377798
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,5,734322,9.618077320675089e-06,0.0003908367174073499,0.00038121864008667486
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,6,734273,0.000582581491040802,0.0007735542502584189,0.00019097275921761692
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,7,734358,0.0029024266928215033,0.0032354791532195467,0.0003330524603980434
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,8,734352,0.006355341866929467,0.005724775039762948,0.0006305668271665192
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,9,734358,0.02006429492839332,0.01740023258410748,0.002664062344285841
