model,model_label,frame_index,forecast_date,q,tp,fp,tn,fn,accuracy,recall_tpr,specificity_tnr,precision_ppv,fpr,fnr,f1,balanced_accuracy,mcc
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,0,2020-01-01,0.01,23,547,56224,133,0.988054877298997,0.14743589743589744,0.9903647989290306,0.04035087719298246,0.009635201070969332,0.8525641025641025,0.06336088154269973,0.568900348182464,0.07235451260604017
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,0,2020-01-01,0.05,65,2782,53989,91,0.9495318565882621,0.4166666666666667,0.9509961071673918,0.0228310502283105,0.0490038928326082,0.5833333333333334,0.04329004329004329,0.6838313869170293,0.08817859113826873
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,0,2020-01-01,0.1,91,5602,51169,65,0.9004514553726702,0.5833333333333334,0.9013228585016998,0.015984542420516425,0.09867714149830019,0.4166666666666667,0.031116430159001545,0.7423280959175166,0.08445193659143545
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,1,2020-01-15,0.01,31,539,56222,135,0.9881602754404764,0.18674698795180722,0.9905040432691461,0.054385964912280704,0.009495956730853931,0.8132530120481928,0.08423913043478261,0.5886255156104767,0.09599673725384865
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,1,2020-01-15,0.05,71,2776,53985,95,0.9495669893020886,0.42771084337349397,0.9510931801765297,0.024938531787846857,0.04890681982347034,0.572289156626506,0.047129107202124126,0.6894020117750118,0.09370905781746441
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,1,2020-01-15,0.1,98,5595,51166,68,0.9005217208003232,0.5903614457831325,0.9014287979422491,0.017214122606709993,0.09857120205775093,0.40963855421686746,0.03345280764635603,0.7458951218626908,0.08839124439292688
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,2,2020-01-29,0.01,26,544,56205,152,0.9877738155883852,0.14606741573033707,0.9904139279987313,0.0456140350877193,0.009586072001268745,0.8539325842696629,0.06951871657754011,0.5682406718645342,0.07653340509138665
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,2,2020-01-29,0.05,77,2770,53979,101,0.9495669893020886,0.43258426966292135,0.951188567199422,0.02704601334738321,0.04881143280057798,0.5674157303370787,0.05090909090909091,0.6918864184311717,0.09829949010809177
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,2,2020-01-29,0.1,104,5589,51160,74,0.9005217208003232,0.5842696629213483,0.9015136830604945,0.018268048480590198,0.09848631693950555,0.4157303370786517,0.03542837676716062,0.7428916729909214,0.09040282577385035
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,3,2020-02-12,0.01,19,551,56219,138,0.9878967800867778,0.12101910828025478,0.9902941694556985,0.03333333333333333,0.009705830544301568,0.8789808917197452,0.052269601100412656,0.5556566388679767,0.05863337364812491
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,3,2020-02-12,0.05,62,2785,53985,95,0.9494088920898694,0.39490445859872614,0.950942399154483,0.021777309448542326,0.049057600845516997,0.6050955414012739,0.041278295605858856,0.6729234288766046,0.08321105579807098
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,3,2020-02-12,0.1,89,5604,51166,68,0.9003636235881041,0.5668789808917197,0.901285890435089,0.01563323379588969,0.09871410956491104,0.43312101910828027,0.030427350427350435,0.7340824356634044,0.08183863419247858
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,4,2020-02-26,0.01,15,555,56209,148,0.9876508510899924,0.09202453987730061,0.9902226763441618,0.02631578947368421,0.009777323655838208,0.9079754601226994,0.04092769440654843,0.5411236081107312,0.044140794337389926
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,4,2020-02-26,0.05,53,2794,53970,110,0.9489872995239518,0.32515337423312884,0.950778662532591,0.018616087109237796,0.04922133746740892,0.6748466257668712,0.035215946843853825,0.6379660183828599,0.06764260890106762
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,4,2020-02-26,0.1,92,5601,51163,71,0.9003636235881041,0.5644171779141104,0.9013283066732436,0.01616019673282979,0.09867169332675639,0.43558282208588955,0.031420765027322405,0.7328727422936769,0.0829524518480826
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,5,2020-03-11,0.01,34,536,56223,134,0.9882305408681293,0.20238095238095238,0.9905565637167674,0.05964912280701754,0.009443436283232616,0.7976190476190477,0.09214092140921408,0.5964687580488599,0.10511805835793367
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,5,2020-03-11,0.05,74,2773,53986,94,0.9496372547297416,0.44047619047619047,0.9511443119152909,0.02599227256761503,0.04885568808470903,0.5595238095238095,0.04908789386401326,0.6958102511957407,0.09745976361657721
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,5,2020-03-11,0.1,102,5591,51168,66,0.9006271189418027,0.6071428571428571,0.901495798023221,0.017916739855963464,0.09850420197677902,0.39285714285714285,0.03480634703975431,0.7543193275830391,0.09196692103037532
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,6,2020-03-25,0.01,20,550,56215,142,0.987844081016038,0.12345679012345678,0.9903109310314454,0.03508771929824561,0.009689068968554567,0.8765432098765432,0.05464480874316939,0.5568838605774511,0.06087031177009042
our_vol5,Our vol5 STNPP-GAT-MoGE-HCL-ZINB,6,2020-03-25,0.05,54,2793,53972,108,0.9490399985946915,0.3333333333333333,0.9507971461287765,0.018967334035827187,0.049202853871223466,0.6666666666666666,0.03589232303090728,0.6420652397310549,0.06943901912839535
