target_crime,frequency_quantile,cell_count,training_events_min,training_events_max,mae,mape_positive
BURGLARY,Q1,52,0.0,92.0,0.016225289553403854,0.9708285927772522
BURGLARY,Q2,51,94.0,482.0,0.10883945226669312,0.9127643704414368
BURGLARY,Q3,51,488.0,1163.0,0.27806875109672546,0.8041141033172607
BURGLARY,Q4,51,1178.0,3375.0,0.5067752599716187,0.5993726253509521
CAR_THEFT,Q1,52,0.0,43.0,0.01678944192826748,0.9799749851226807
CAR_THEFT,Q2,51,44.0,428.0,0.14833207428455353,0.8767526745796204
CAR_THEFT,Q3,51,432.0,1093.0,0.43046578764915466,0.7101234793663025
CAR_THEFT,Q4,51,1106.0,4917.0,0.7903015613555908,0.475920706987381
THEFT_FROM_VEHICLE,Q1,52,0.0,138.0,0.022892963141202927,0.9685963988304138
THEFT_FROM_VEHICLE,Q2,51,163.0,730.0,0.20726372301578522,0.8348101377487183
THEFT_FROM_VEHICLE,Q3,51,743.0,1951.0,0.48756930232048035,0.6118065714836121
THEFT_FROM_VEHICLE,Q4,51,1984.0,9297.0,0.8616654872894287,0.4203130006790161
