target_crime,cluster,cell_count,mean_specific_gate,mean_training_events
BURGLARY,0,49,0.3679468333721161,836.653076171875
BURGLARY,1,50,0.3705567419528961,641.4600219726562
BURGLARY,2,52,0.3637264370918274,877.576904296875
BURGLARY,3,54,0.3712550699710846,667.2036743164062
CAR_THEFT,0,43,0.42844489216804504,901.0697631835938
CAR_THEFT,1,51,0.42872458696365356,877.5490112304688
CAR_THEFT,2,53,0.4247578978538513,529.5283203125
CAR_THEFT,3,58,0.42765313386917114,786.4655151367188
THEFT_FROM_VEHICLE,0,56,0.47220978140830994,1261.892822265625
THEFT_FROM_VEHICLE,1,51,0.47237423062324524,1272.509765625
THEFT_FROM_VEHICLE,2,44,0.4722077548503876,1290.022705078125
THEFT_FROM_VEHICLE,3,54,0.474059522151947,1560.5926513671875
