model,model_label,frame_index,forecast_date,predicted_events,actual_events,cumulative_predicted_events,cumulative_actual_events,cumulative_error
etas_ref,Reference ETAS,0,2020-01-01,165.07839965820312,158.0,165.07839965820312,158.0,7.078399658203125
etas_ref,Reference ETAS,1,2020-01-15,165.0725860595703,173.0,330.1510009765625,331.0,-0.8489990234375
etas_ref,Reference ETAS,2,2020-01-29,164.96023559570312,179.0,495.1112365722656,510.0,-14.888763427734375
etas_ref,Reference ETAS,3,2020-02-12,164.9749755859375,159.0,660.086181640625,669.0,-8.913818359375
etas_ref,Reference ETAS,4,2020-02-26,165.15200805664062,168.0,825.2381591796875,837.0,-11.7618408203125
etas_ref,Reference ETAS,5,2020-03-11,165.15003967285156,169.0,990.38818359375,1006.0,-15.61181640625
etas_ref,Reference ETAS,6,2020-03-25,165.04498291015625,167.0,1155.43310546875,1173.0,-17.56689453125
etas_ref,Reference ETAS,7,2020-04-08,165.04791259765625,149.0,1320.48095703125,1322.0,-1.51904296875
etas_ref,Reference ETAS,8,2020-04-22,165.852783203125,165.0,1486.333740234375,1487.0,-0.666259765625
etas_ref,Reference ETAS,9,2020-05-06,165.80938720703125,164.0,1652.14306640625,1651.0,1.14306640625
etas_ref,Reference ETAS,10,2020-05-20,167.40150451660156,189.0,1819.5445556640625,1840.0,-20.4554443359375
etas_ref,Reference ETAS,11,2020-06-03,167.41885375976562,155.0,1986.96337890625,1995.0,-8.03662109375
etas_ref,Reference ETAS,12,2020-06-17,169.75592041015625,205.0,2156.71923828125,2200.0,-43.28076171875
etas_ref,Reference ETAS,13,2020-07-01,169.74246215820312,211.0,2326.461669921875,2411.0,-84.538330078125
etas_ref,Reference ETAS,14,2020-07-15,171.96429443359375,177.0,2498.426025390625,2588.0,-89.573974609375
etas_ref,Reference ETAS,15,2020-07-29,172.0062255859375,161.0,2670.43212890625,2749.0,-78.56787109375
etas_ref,Reference ETAS,16,2020-08-12,172.45730590820312,155.0,2842.889404296875,2904.0,-61.110595703125
etas_ref,Reference ETAS,17,2020-08-26,172.37266540527344,167.0,3015.261962890625,3071.0,-55.738037109375
etas_ref,Reference ETAS,18,2020-09-09,171.5804901123047,143.0,3186.842529296875,3214.0,-27.157470703125
etas_ref,Reference ETAS,19,2020-09-23,171.52291870117188,151.0,3358.365478515625,3365.0,-6.634521484375
etas_ref,Reference ETAS,20,2020-10-07,170.63299560546875,151.0,3528.99853515625,3516.0,12.99853515625
etas_ref,Reference ETAS,21,2020-10-21,170.69454956054688,174.0,3699.693115234375,3690.0,9.693115234375
etas_ref,Reference ETAS,22,2020-11-04,170.10516357421875,165.0,3869.79833984375,3855.0,14.79833984375
etas_ref,Reference ETAS,23,2020-11-18,170.0604248046875,190.0,4039.85888671875,4045.0,-5.14111328125
etas_ref,Reference ETAS,24,2020-12-02,169.85179138183594,191.0,4209.71044921875,4236.0,-26.28955078125
etas_ref,Reference ETAS,25,2020-12-16,169.52151489257812,166.0,4379.23193359375,4402.0,-22.76806640625
etas_ref,Reference ETAS,26,2020-12-30,168.81716918945312,166.0,4548.04931640625,4568.0,-19.95068359375
etas_ref,Reference ETAS,27,2021-01-13,168.99346923828125,170.0,4717.04296875,4738.0,-20.95703125
etas_ref,Reference ETAS,28,2021-01-27,170.00543212890625,145.0,4887.04833984375,4883.0,4.04833984375
etas_ref,Reference ETAS,29,2021-02-10,169.4329071044922,186.0,5056.4814453125,5069.0,-12.5185546875
etas_ref,Reference ETAS,30,2021-02-24,170.57858276367188,175.0,5227.06005859375,5244.0,-16.93994140625
etas_ref,Reference ETAS,31,2021-03-10,170.49053955078125,176.0,5397.55078125,5420.0,-22.44921875
etas_ref,Reference ETAS,32,2021-03-24,171.4097442626953,154.0,5568.96044921875,5574.0,-5.03955078125
etas_ref,Reference ETAS,33,2021-04-07,170.82684326171875,142.0,5739.787109375,5716.0,23.787109375
etas_ref,Reference ETAS,34,2021-04-21,169.9688720703125,166.0,5909.755859375,5882.0,27.755859375
etas_ref,Reference ETAS,35,2021-05-05,170.30926513671875,171.0,6080.06494140625,6053.0,27.06494140625
etas_ref,Reference ETAS,36,2021-05-19,169.2172393798828,154.0,6249.2822265625,6207.0,42.2822265625
etas_ref,Reference ETAS,37,2021-06-02,169.70965576171875,145.0,6418.99169921875,6352.0,66.99169921875
