model,model_label,frame_index,forecast_date,q,q_eff,selected_cells,hit_count,hit_rate,miss_rate,area_coverage,hotspot_density_per_km2,pai,gain,lift,pei_star,oracle_hit_count,iou_jaccard,dice,centroid_distance_m
etas_ref,Reference ETAS,0,2020-01-01,0.01,0.010012823440546666,570,23.0,0.14556962025316456,0.8544303797468354,0.010012823440546666,1.7933723196881093,14.538318898512102,0.14556962025316456,14.538318898512102,0.14556962025316456,158.0,0.020590868397493287,0.04035087719298246,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.02,0.02000808052418009,1139,36.0,0.22784810126582278,0.7721518987341772,0.02000808052418009,1.404741000877963,11.387804091974973,0.22784810126582278,11.387804091974973,0.22784810126582278,158.0,0.018328118015198926,0.035996488147497806,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.03,0.030003337607813516,1708,49.0,0.310126582278481,0.689873417721519,0.030003337607813516,1.2750455373406193,10.336402780659887,0.310126582278481,10.336402780659887,0.310126582278481,158.0,0.01939719486720382,0.038056206088992975,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.04,0.04001616104836018,2278,56.0,0.35443037974683544,0.6455696202531646,0.04001616104836018,1.0925763340161936,8.857180960424978,0.35443037974683544,8.857180960424978,0.35443037974683544,158.0,0.018328118015198926,0.035996488147497806,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.05,0.050011418131993605,2847,68.0,0.43037974683544306,0.5696202531645569,0.050011418131993605,1.061546267025719,8.605629732385411,0.43037974683544306,8.605629732385411,0.43037974683544306,158.0,0.020795984223736106,0.040744643484369514,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.06,0.06000667521562703,3416,71.0,0.44936708860759494,0.5506329113924051,0.06000667521562703,0.9237574811345303,7.488618341090327,0.44936708860759494,7.488618341090327,0.44936708860759494,158.0,0.02352059925093633,0.04596018735362998,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.07,0.07000193229926045,3985,76.0,0.4810126582278481,0.5189873417721519,0.07000193229926045,0.8476230308099819,6.871419722694282,0.4810126582278481,6.871419722694282,0.4810126582278481,158.0,0.02692951939183095,0.05244667503136763,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.08,0.08001475573980713,4555,84.0,0.5316455696202531,0.4683544303797469,0.08001475573980713,0.8196121478229053,6.644344092595422,0.5316455696202531,6.644344092595422,0.5316455696202531,158.0,0.032060722782372264,0.062129527991218444,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.09,0.09001001282344055,5124,88.0,0.5569620253164557,0.44303797468354433,0.09001001282344055,0.7632925665712551,6.187778535361021,0.5569620253164557,6.187778535361021,0.5569620253164557,158.0,0.04082876294942109,0.07845433255269321,1223.5826642902205
etas_ref,Reference ETAS,0,2020-01-01,0.1,0.10000526990707397,5693,95.0,0.6012658227848101,0.3987341772151899,0.10000526990707397,0.7416515408786619,6.012341383044245,0.6012658227848101,6.012341383044245,0.6012658227848101,158.0,0.049981556621173,0.09520463727384507,1223.5826642902205
etas_ref,Reference ETAS,1,2020-01-15,0.01,0.010012823440546666,570,33.0,0.1907514450867052,0.8092485549132948,0.010012823440546666,2.5730994152046787,19.0507149376331,0.1907514450867052,19.0507149376331,0.1907514450867052,173.0,0.02702702702702703,0.05263157894736842,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.02,0.02000808052418009,1139,47.0,0.27167630057803466,0.7283236994219653,0.02000808052418009,1.8339674178128962,13.578329028099894,0.27167630057803466,13.578329028099894,0.27167630057803466,173.0,0.0210667861945316,0.041264266900790166,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.03,0.030003337607813516,1708,68.0,0.3930635838150289,0.6069364161849711,0.030003337607813516,1.7694509497788187,13.100661964776435,0.3930635838150289,13.100661964776435,0.3930635838150289,173.0,0.022754491017964073,0.04449648711943794,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.04,0.04001616104836018,2278,72.0,0.4161849710982659,0.5838150289017341,0.04001616104836018,1.404741000877963,10.400422234289282,0.4161849710982659,10.400422234289282,0.4161849710982659,173.0,0.021524663677130046,0.04214223002633889,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.05,0.050011418131993605,2847,78.0,0.4508670520231214,0.5491329479768786,0.050011418131993605,1.21765601217656,9.015282286800222,0.4508670520231214,9.015282286800222,0.4508670520231214,173.0,0.021711824869908487,0.042500878117316475,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.06,0.06000667521562703,3416,89.0,0.5144508670520231,0.48554913294797686,0.06000667521562703,1.1579495186052564,8.573227315184578,0.5144508670520231,8.573227315184578,0.5144508670520231,173.0,0.025517862503752625,0.049765807962529274,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.07,0.07000193229926045,3985,94.0,0.5433526011560693,0.4566473988439307,0.07000193229926045,1.0483758538965566,7.761965753076928,0.5433526011560693,7.761965753076928,0.5433526011560693,173.0,0.02838709677419355,0.05520702634880803,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.08,0.08001475573980713,4555,99.0,0.5722543352601156,0.4277456647398844,0.08001475573980713,0.9659714599341384,7.151860053425379,0.5722543352601156,7.151860053425379,0.5722543352601156,173.0,0.033465683494044246,0.06476399560922064,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.09,0.09001001282344055,5124,102.0,0.5895953757225434,0.4104046242774566,0.09001001282344055,0.8847254748894092,6.550330982388218,0.5895953757225434,6.550330982388218,0.5895953757225434,173.0,0.041886945912972755,0.08040593286494926,482.6526753567725
etas_ref,Reference ETAS,1,2020-01-15,0.1,0.10000526990707397,5693,105.0,0.6069364161849711,0.3930635838150289,0.10000526990707397,0.8197201241290474,6.069044328853303,0.6069364161849711,6.069044328853303,0.6069364161849711,173.0,0.0503690036900369,0.09590725452309855,482.6526753567725
etas_ref,Reference ETAS,2,2020-01-29,0.01,0.010012823440546666,570,29.0,0.16201117318435754,0.8379888268156425,0.010012823440546666,2.261208576998051,16.18036851906302,0.16201117318435754,16.18036851906302,0.16201117318435754,179.0,0.026102610261026102,0.05087719298245614,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.02,0.02000808052418009,1139,43.0,0.24022346368715083,0.7597765363128491,0.02000808052418009,1.6778850843820114,12.006322315468337,0.24022346368715083,12.006322315468337,0.24022346368715083,179.0,0.02060931899641577,0.04038630377524144,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.03,0.030003337607813516,1708,53.0,0.29608938547486036,0.7039106145251397,0.030003337607813516,1.3791308873276087,9.868548271034763,0.29608938547486036,9.868548271034763,0.29608938547486036,179.0,0.021836673646425366,0.04274004683840749,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.04,0.04001616104836018,2278,65.0,0.36312849162011174,0.6368715083798883,0.04001616104836018,1.2681689591259389,9.07454593610979,0.36312849162011174,9.07454593610979,0.36312849162011174,179.0,0.021524663677130046,0.04214223002633889,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.05,0.050011418131993605,2847,78.0,0.43575418994413406,0.5642458100558659,0.050011418131993605,1.21765601217656,8.713094053723118,0.43575418994413406,8.713094053723118,0.43575418994413406,179.0,0.02410071942446043,0.047067088162978575,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.06,0.06000667521562703,3416,82.0,0.4581005586592179,0.541899441340782,0.06000667521562703,1.0668748373666406,7.634159983253307,0.4581005586592179,7.634159983253307,0.4581005586592179,179.0,0.02613397416641634,0.050936768149882905,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.07,0.07000193229926045,3985,93.0,0.5195530726256983,0.4804469273743017,0.07000193229926045,1.0372229192806357,7.421981873365904,0.5195530726256983,7.421981873365904,0.5195530726256983,179.0,0.029715762273901807,0.05771643663739021,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.08,0.08001475573980713,4555,95.0,0.5307262569832403,0.4692737430167597,0.08001475573980713,0.9269423100378095,6.632854803794713,0.5307262569832403,6.632854803794713,0.5307262569832403,179.0,0.03393485415957326,0.06564215148188804,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.09,0.09001001282344055,5124,103.0,0.5754189944134078,0.4245810055865922,0.09001001282344055,0.8933992540549918,6.392833156708053,0.5754189944134078,6.392833156708053,0.5754189944134078,179.0,0.04241684467500763,0.08138173302107728,1330.3701238512267
etas_ref,Reference ETAS,2,2020-01-29,0.1,0.10000526990707397,5693,108.0,0.6033519553072626,0.3966480446927374,0.10000526990707397,0.843140699104163,6.033201608954249,0.6033519553072626,6.033201608954249,0.6033519553072626,179.0,0.05153306243073513,0.09801510627085895,1330.3701238512267
etas_ref,Reference ETAS,3,2020-02-12,0.01,0.010012823440546666,570,21.0,0.1320754716981132,0.8679245283018868,0.010012823440546666,1.6374269005847955,13.190632240979808,0.1320754716981132,13.190632240979808,0.1320754716981132,159.0,0.017857142857142856,0.03508771929824561,2186.3145532126746
etas_ref,Reference ETAS,3,2020-02-12,0.02,0.02000808052418009,1139,40.0,0.25157232704402516,0.7484276729559749,0.02000808052418009,1.5608233343088478,12.573536313990536,0.25157232704402516,12.573536313990536,0.25157232704402516,159.0,0.01923937360178971,0.03775241439859526,2186.3145532126746
etas_ref,Reference ETAS,3,2020-02-12,0.03,0.030003337607813516,1708,53.0,0.3333333333333333,0.6666666666666667,0.030003337607813516,1.3791308873276087,11.109875097580014,0.3333333333333333,11.109875097580014,0.3333333333333333,159.0,0.021225710014947684,0.04156908665105386,2186.3145532126746
etas_ref,Reference ETAS,3,2020-02-12,0.04,0.04001616104836018,2278,61.0,0.3836477987421384,0.6163522012578616,0.04001616104836018,1.1901277924104965,9.587321439417785,0.3836477987421384,9.587321439417785,0.3836477987421384,159.0,0.019695613249776187,0.038630377524143986,2186.3145532126746
