scope,metric,value
ALL,mae,0.299248069524765
ALL,mape_positive,0.6014190912246704
ALL,rmse,0.5737013220787048
ALL,mean_observed_count,0.2796174883842468
ALL,mean_predicted_count,0.26290634274482727
BURGLARY,mae,0.18701261281967163
BURGLARY,mape_positive,0.7289752960205078
BURGLARY,rmse,0.4054054915904999
BURGLARY,mean_observed_count,0.1374306082725525
BURGLARY,mean_predicted_count,0.12235338985919952
CAR_THEFT,mae,0.3443452715873718
CAR_THEFT,mape_positive,0.5882030129432678
CAR_THEFT,rmse,0.6214653253555298
CAR_THEFT,mean_observed_count,0.34171411395072937
CAR_THEFT,mean_predicted_count,0.32034698128700256
THEFT_FROM_VEHICLE,mae,0.366386353969574
THEFT_FROM_VEHICLE,mape_positive,0.5545869469642639
THEFT_FROM_VEHICLE,rmse,0.6609287858009338
THEFT_FROM_VEHICLE,mean_observed_count,0.3597077429294586
THEFT_FROM_VEHICLE,mean_predicted_count,0.3460187017917633
