epoch,train_total,train_task,train_type,train_neighbor,validation_total,validation_task,validation_type,validation_neighbor
1,0.590377709132247,0.48136265555958513,0.3942900904043291,0.3324768734545091,0.7948750694592793,0.7455876390139262,0.17089936037858328,0.15768349766731263
2,0.4687657629929893,0.40433582486404884,0.23317408262797662,0.19635882595053045,0.7480438907941183,0.7194755593935649,0.09561287760734558,0.09484258641799291
3,0.43174497103443116,0.38049569017465545,0.1826661984376709,0.15899564173033828,0.6698803941408793,0.6421536763509115,0.08936956028143565,0.0954751859108607
4,0.38177596185395124,0.3369785731030077,0.15595190822635327,0.14269733023767486,0.579331084092458,0.5553542812665303,0.07776790459950765,0.08207733829816183
5,0.3495725037704428,0.3151803085079519,0.1204610722247417,0.1088201890507212,0.5435078104337057,0.5268714904785157,0.05395187189181646,0.056956932445367175
6,0.3340308860630727,0.3073984225118674,0.0933452430243478,0.08420449478709503,0.5292346596717834,0.5163607438405354,0.04173535257577896,0.044090691457192105
7,0.3233991639486571,0.30221959992822534,0.07405314379735652,0.06714393283734527,0.5173330028851827,0.5070063610871632,0.033234814554452895,0.03560945714513461
8,0.3161246667202302,0.29889696296221435,0.060136457332264616,0.054714881974157574,0.5046412785847981,0.495906796058019,0.0280930378784736,0.03013706294198831
9,0.31129389208634933,0.29693614143496283,0.050053354574126616,0.045664985718158524,0.5011837780475616,0.4938144246737162,0.023752366130550703,0.025376498823364575
10,0.3071054591953666,0.2951376378137679,0.04165672964207485,0.03812875040152275,0.49621188044548037,0.489883146683375,0.020308296382427215,0.02188322482009729
11,0.3042670591979289,0.2940121398018161,0.03554794905820715,0.03281817989863931,0.49486416975657144,0.48935063083966573,0.017754004274805387,0.019002739712595938
12,0.30155440336882094,0.2926958126263668,0.030661629416037457,0.028395645940374654,0.4854994475841522,0.48050487637519834,0.016030352314313254,0.017266779020428658
13,0.29930722638189705,0.29152962040670916,0.027030629851754317,0.02482006348735953,0.48836119373639425,0.4839242200056712,0.014306594493488471,0.015273200968901316
14,0.29797963366288843,0.29114103565244404,0.023693681053850484,0.021896997217592654,0.4801614085833232,0.47617014447848,0.012894670478999615,0.013713792835672697
15,0.2963260649571979,0.290214386462811,0.021247049854489882,0.01949746543084884,0.4765284299850464,0.4729309678077698,0.011650444815556209,0.012332601969440778
16,0.29423890739989317,0.2887291681536239,0.019127550395136424,0.01760403563947947,0.4712765475114187,0.4679782152175903,0.010698887519538403,0.011289945803582668
17,0.29279386204560837,0.2878200468257136,0.017335388076008696,0.01582339686517331,0.4665237565835317,0.4635402162869771,0.009671684727072716,0.010218571064372857
18,0.29225794698650026,0.2877128668029808,0.015839603840253062,0.014460938848433311,0.465421591202418,0.46268945137659706,0.008905156143009662,0.009309109983344872
19,0.29080342356375743,0.2866284933168148,0.014695787818944648,0.013137067277897785,0.46479140520095824,0.46230334440867105,0.00817074030637741,0.008416366577148438
20,0.29029939690103856,0.2865053132774217,0.013407149455921079,0.011886738853758813,0.46475444436073304,0.46242921352386473,0.007661407658209403,0.007840154195825259
21,0.2899509529302237,0.28640882402968443,0.012558169654649398,0.011056008788841441,0.453827037413915,0.45163219173749286,0.007278945297002792,0.007353380539764961
22,0.28905796455593025,0.28577377913965335,0.011699935032489306,0.010194647960353747,0.45312254230181376,0.451143479347229,0.006613011254618565,0.006580731676270564
23,0.2882880575146753,0.2852595769544236,0.010854781987242412,0.009335062065248947,0.4524856487909953,0.45065372784932456,0.006173412470767896,0.006039286218583584
24,0.28711371918666945,0.2843062869241298,0.010065961023031514,0.008650271884853471,0.44589664538701373,0.4441470424334208,0.005922051550199588,0.00574188306927681
25,0.28764199572899013,0.285021123701892,0.009458732748346023,0.008013735326037453,0.4458057900269826,0.44417168696721393,0.0055590931015710035,0.005334824913491806
