target_crime,frequency_quantile,cell_count,training_events_min,training_events_max,mae,mape_positive
BURGLARY,Q1,52,0.0,11.0,0.032545190304517746,0.9706600308418274
BURGLARY,Q2,51,12.0,67.0,0.09891515225172043,0.9705344438552856
BURGLARY,Q3,51,69.0,165.0,0.2239207923412323,0.9427218437194824
BURGLARY,Q4,51,174.0,976.0,0.5463452935218811,0.7887633442878723
CAR_THEFT,Q1,52,0.0,10.0,0.02852950617671013,0.9707100987434387
CAR_THEFT,Q2,51,11.0,108.0,0.09579930454492569,0.9641382694244385
CAR_THEFT,Q3,51,109.0,316.0,0.3255840241909027,0.9081130623817444
CAR_THEFT,Q4,51,316.0,1933.0,0.8068251013755798,0.638318657875061
THEFT_FROM_VEHICLE,Q1,52,0.0,22.0,0.0606987327337265,0.9403215646743774
THEFT_FROM_VEHICLE,Q2,51,27.0,146.0,0.1662495732307434,0.9150534868240356
THEFT_FROM_VEHICLE,Q3,51,146.0,377.0,0.4632725715637207,0.7687665820121765
THEFT_FROM_VEHICLE,Q4,51,383.0,3710.0,0.9623900055885315,0.5346192121505737
