scope,metric,value
ALL,mae,0.3162384033203125
ALL,mape_positive,0.7270691990852356
ALL,rmse,0.667805016040802
ALL,mean_observed_count,0.3252788782119751
ALL,mean_predicted_count,0.20461834967136383
BURGLARY,mae,0.2244907170534134
BURGLARY,mape_positive,0.8508619666099548
BURGLARY,rmse,0.5077551007270813
BURGLARY,mean_observed_count,0.19631309807300568
BURGLARY,mean_predicted_count,0.0827251449227333
CAR_THEFT,mae,0.31279104948043823
CAR_THEFT,mape_positive,0.7377174496650696
CAR_THEFT,rmse,0.6841690540313721
CAR_THEFT,mean_observed_count,0.33618831634521484
CAR_THEFT,mean_predicted_count,0.17592497169971466
THEFT_FROM_VEHICLE,mae,0.4114334285259247
THEFT_FROM_VEHICLE,mape_positive,0.6427453756332397
THEFT_FROM_VEHICLE,rmse,0.7822967171669006
THEFT_FROM_VEHICLE,mean_observed_count,0.44333523511886597
THEFT_FROM_VEHICLE,mean_predicted_count,0.35520491003990173
