epoch,learning_rate,cyclic_offset,used_train_targets,train_total,train_prediction,train_cecl_specific,train_cecl_universal,validation_mae,validation_mse,elapsed_seconds,halr_category_weight_0,halr_cluster_weight_0_0,halr_cluster_weight_0_1,halr_cluster_weight_0_2,halr_cluster_weight_0_3,halr_category_weight_1,halr_cluster_weight_1_0,halr_cluster_weight_1_1,halr_cluster_weight_1_2,halr_cluster_weight_1_3,halr_category_weight_2,halr_cluster_weight_2_0,halr_cluster_weight_2_1,halr_cluster_weight_2_2,halr_cluster_weight_2_3
1,0.01,0,97,0.7350331274504515,0.7166824045869493,6.205472883950803e-05,0.8083738116259428,0.6028246614956958,0.6944997534074605,92.93996844498906,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25
2,0.0099902323057199,1,97,0.4719487668312702,0.5578614098509562,2.5603349609509774e-07,0.1282979244577516,,,78.11364875396248,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25,0.3333333432674408,0.25,0.25,0.25,0.25
3,0.0099609677715066,2,97,0.375099605198988,0.4670350023151673,7.812092159144516e-07,0.0073572151679737,,,79.667825991055,0.2986946105957031,0.2271740138530731,0.2210079729557037,0.3285962641239166,0.2232217192649841,0.3634250164031982,0.2477163076400756,0.2163566201925277,0.2552401721477508,0.2806868851184845,0.3378803431987762,0.2484076172113418,0.2518183290958404,0.2469304352998733,0.2528435885906219
4,0.009912321891107,3,96,0.3325923681259155,0.4154101212819417,1.019900234192998e-06,0.0013203200651332,,,86.74709652597085,0.3273723125457763,0.2630601227283478,0.2209164053201675,0.2786845862865448,0.2373389452695846,0.334920734167099,0.2442079037427902,0.2347710877656936,0.2548558712005615,0.2661651372909546,0.337706983089447,0.2484215199947357,0.2515824139118194,0.2546909153461456,0.2453051209449768
5,0.0098444866475867,4,96,0.3163985510667165,0.3951718211174011,1.1788454988466883e-06,0.0013043138120944,0.3429171804011238,0.5087035584050693,87.8524673380889,0.3267832994461059,0.332087367773056,0.2200164645910263,0.1645387262105941,0.2833574712276459,0.3405680358409881,0.2659431397914886,0.2540886700153351,0.2289934605360031,0.2509747445583343,0.3326486945152282,0.2392425835132599,0.2341730445623397,0.2987110614776611,0.2278732657432556
6,0.009757729755661,5,96,0.311630775531133,0.3891195853551228,6.755187200724322e-07,0.0016747837653383,,,82.01116944896057,0.3513365387916565,0.2294875979423523,0.3011519610881805,0.2325929999351501,0.2367674857378006,0.3100218474864959,0.2844504714012146,0.2424522787332534,0.2654979228973388,0.2075993418693542,0.3386416435241699,0.2670006155967712,0.2478386163711547,0.2094285786151886,0.2757322192192077
7,0.0096523936051468,6,96,0.3186427156130473,0.3978935480117798,4.76836892933837e-07,0.0016388600536932,,,80.81398397800513,0.3286675810813904,0.2317671030759811,0.2028223574161529,0.2854664027690887,0.2799440920352936,0.3381105661392212,0.2211637496948242,0.2656238675117492,0.2478453665971756,0.2653669714927673,0.3332218527793884,0.2464601397514343,0.2298115938901901,0.2531939446926117,0.2705343067646026
8,0.0095288939097067,0,97,0.333296944492871,0.4163897885489709,2.511178002950868e-07,0.0009252236719176,,,40.0539862040896,0.353342205286026,0.2968364357948303,0.2382195889949798,0.2382109463214874,0.2267330437898636,0.3264490365982055,0.243154689669609,0.2752645313739776,0.2503817677497864,0.2311990112066269,0.3202088177204132,0.2493225932121276,0.261743426322937,0.2613260447978973,0.2276079505681991
9,0.0093877180662171,1,97,0.301675806340483,0.3768817988253131,1.4542713150550044e-07,0.0008516365244562,,,63.94358136795927,0.3217591345310211,0.2193436920642852,0.3124470710754394,0.2397515326738357,0.2284576892852783,0.3275731801986694,0.27426278591156,0.2269531935453415,0.2482857257127761,0.2504983246326446,0.3506676852703094,0.2322979122400283,0.2425759136676788,0.2786244451999664,0.2465017139911651
10,0.0092294232312349,2,97,0.2850241264731614,0.3561150038365236,1.0569070160640549e-07,0.0006604612536113,0.3091020388719512,0.4212237902020564,82.1242791370023,0.3190189898014068,0.213396355509758,0.2154429703950882,0.3498654067516327,0.2212952375411987,0.3669685423374176,0.2352679967880249,0.2532215118408203,0.2333475053310394,0.2781629562377929,0.3140124380588531,0.2673642337322235,0.2065886557102203,0.24128058552742,0.2847665548324585
