scope,metric,value,low_quantile,high_quantile
ALL,mae,0.30767884850502014,0.1,0.9
ALL,picp,0.965956329166816,0.1,0.9
ALL,mpiw,0.7775891423225403,0.1,0.9
ALL,occurrence_f1,0.55040458986225,0.1,0.9
ALL,true_zero_rate,0.9102290415183382,0.1,0.9
ALL,actual_zero_rate,0.8176092069290737,0.1,0.9
ALL,predicted_zero_rate,0.8294807970106133,0.1,0.9
ALL,mean_extra_zero_probability_pi,0.071682408452034,0.1,0.9
ALL,mean_total_zero_probability,0.8141942024230957,0.1,0.9
ALL,mean_observed_count,0.2796174883842468,0.1,0.9
ALL,mean_predicted_count,0.28097447752952576,0.1,0.9
ALL,zinb_nll_per_observation,0.48658859729766846,0.1,0.9
ALL,distribution_kl,0.00011702731920674951,0.1,0.9
BURGLARY,mae,0.20844118297100067,0.1,0.9
BURGLARY,picp,0.9746284158876831,0.1,0.9
BURGLARY,mpiw,0.5050463676452637,0.1,0.9
BURGLARY,occurrence_f1,0.390655737704918,0.1,0.9
BURGLARY,true_zero_rate,0.9602596529423064,0.1,0.9
BURGLARY,actual_zero_rate,0.8949249668708141,0.1,0.9
BURGLARY,predicted_zero_rate,0.9302961928297697,0.1,0.9
BURGLARY,mean_extra_zero_probability_pi,0.10739624500274658,0.1,0.9
BURGLARY,mean_total_zero_probability,0.8741453886032104,0.1,0.9
BURGLARY,mean_observed_count,0.1374306082725525,0.1,0.9
BURGLARY,mean_predicted_count,0.16115771234035492,0.1,0.9
BURGLARY,zinb_nll_per_observation,0.32513245940208435,0.1,0.9
BURGLARY,distribution_kl,0.002215730839433584,0.1,0.9
CAR_THEFT,mae,0.34439724683761597,0.1,0.9
CAR_THEFT,picp,0.9606604347981805,0.1,0.9
CAR_THEFT,mpiw,0.8621324300765991,0.1,0.9
CAR_THEFT,occurrence_f1,0.5754813951894744,0.1,0.9
CAR_THEFT,true_zero_rate,0.8970196645406879,0.1,0.9
CAR_THEFT,actual_zero_rate,0.7828014755918484,0.1,0.9
CAR_THEFT,predicted_zero_rate,0.7990759643279253,0.1,0.9
CAR_THEFT,mean_extra_zero_probability_pi,0.09269925206899643,0.1,0.9
CAR_THEFT,mean_total_zero_probability,0.7943691611289978,0.1,0.9
CAR_THEFT,mean_observed_count,0.34171411395072937,0.1,0.9
CAR_THEFT,mean_predicted_count,0.31974560022354126,0.1,0.9
CAR_THEFT,zinb_nll_per_observation,0.5539822578430176,0.1,0.9
CAR_THEFT,distribution_kl,0.000555744747749302,0.1,0.9
THEFT_FROM_VEHICLE,mae,0.37019816040992737,0.1,0.9
THEFT_FROM_VEHICLE,picp,0.962580136814584,0.1,0.9
THEFT_FROM_VEHICLE,mpiw,0.9655886292457581,0.1,0.9
THEFT_FROM_VEHICLE,occurrence_f1,0.58783368187969,0.1,0.9
THEFT_FROM_VEHICLE,true_zero_rate,0.8658047464143132,0.1,0.9
THEFT_FROM_VEHICLE,actual_zero_rate,0.7751011783245586,0.1,0.9
THEFT_FROM_VEHICLE,predicted_zero_rate,0.759070233874145,0.1,0.9
THEFT_FROM_VEHICLE,mean_extra_zero_probability_pi,0.014951727353036404,0.1,0.9
THEFT_FROM_VEHICLE,mean_total_zero_probability,0.7740679979324341,0.1,0.9
THEFT_FROM_VEHICLE,mean_observed_count,0.3597077429294586,0.1,0.9
THEFT_FROM_VEHICLE,mean_predicted_count,0.3620201647281647,0.1,0.9
THEFT_FROM_VEHICLE,zinb_nll_per_observation,0.5806511044502258,0.1,0.9
THEFT_FROM_VEHICLE,distribution_kl,0.0001280610133915462,0.1,0.9
