forecast_date,display_time,theta,omega,refits,state_updates,actual_events_in_window
2012-05-16,2012-05-17T00:00:00,0.05,0.011111111111111112,0,0,0
2012-05-17,2012-05-18T00:00:00,0.05,0.011111111111111112,0,0,1
2012-05-18,2012-05-19T00:00:00,0.05,0.011111111111111112,0,1,3
2012-05-19,2012-05-20T00:00:00,0.05,0.011111111111111112,0,4,3
2012-05-20,2012-05-21T00:00:00,0.05,0.011111111111111112,0,7,3
2012-05-21,2012-05-22T00:00:00,0.05,0.011111111111111112,0,10,2
2012-05-22,2012-05-23T00:00:00,0.05,0.011111111111111112,0,12,6
2012-05-23,2012-05-24T00:00:00,0.05,0.011111111111111112,1,18,4
2012-05-24,2012-05-25T00:00:00,0.05,0.011111111111111112,1,22,4
2012-05-25,2012-05-26T00:00:00,0.05,0.011111111111111112,1,26,4
2012-05-26,2012-05-27T00:00:00,0.05,0.011111111111111112,1,30,1
2012-05-27,2012-05-28T00:00:00,0.05,0.011111111111111112,1,31,1
2012-05-28,2012-05-29T00:00:00,0.05,0.011111111111111112,1,32,7
2012-05-29,2012-05-30T00:00:00,0.05,0.011111111111111112,1,39,4
2012-05-30,2012-05-31T00:00:00,0.05,0.011111111111111112,2,43,1
2012-05-31,2012-06-01T00:00:00,0.05,0.011111111111111112,2,44,4
2012-06-01,2012-06-02T00:00:00,0.05,0.011111111111111112,2,48,4
2012-06-02,2012-06-03T00:00:00,0.05,0.011111111111111112,2,52,2
2012-06-03,2012-06-04T00:00:00,0.05,0.011111111111111112,2,54,4
2012-06-04,2012-06-05T00:00:00,0.05,0.011111111111111112,2,58,4
2012-06-05,2012-06-06T00:00:00,0.05,0.011111111111111112,2,62,4
2012-06-06,2012-06-07T00:00:00,0.05,0.011111111111111112,3,66,2
2012-06-07,2012-06-08T00:00:00,0.05,0.011111111111111112,3,68,0
2012-06-08,2012-06-09T00:00:00,0.05,0.011111111111111112,3,68,3
2012-06-09,2012-06-10T00:00:00,0.05,0.011111111111111112,3,71,6
2012-06-10,2012-06-11T00:00:00,0.05,0.011111111111111112,3,77,2
2012-06-11,2012-06-12T00:00:00,0.05,0.011111111111111112,3,79,4
2012-06-12,2012-06-13T00:00:00,0.05,0.011111111111111112,3,83,5
2012-06-13,2012-06-14T00:00:00,0.05,0.011111111111111112,4,88,2
2012-06-14,2012-06-15T00:00:00,0.05,0.011111111111111112,4,90,4
2012-06-15,2012-06-16T00:00:00,0.05,0.011111111111111112,4,94,2
2012-06-16,2012-06-17T00:00:00,0.05,0.011111111111111112,4,96,5
2012-06-17,2012-06-18T00:00:00,0.05,0.011111111111111112,4,101,3
2012-06-18,2012-06-19T00:00:00,0.05,0.011111111111111112,4,104,2
2012-06-19,2012-06-20T00:00:00,0.05,0.011111111111111112,4,106,1
2012-06-20,2012-06-21T00:00:00,0.05,0.011111111111111112,5,107,4
2012-06-21,2012-06-22T00:00:00,0.05,0.011111111111111112,5,111,5
2012-06-22,2012-06-23T00:00:00,0.05,0.011111111111111112,5,116,2
2012-06-23,2012-06-24T00:00:00,0.05,0.011111111111111112,5,118,7
2012-06-24,2012-06-25T00:00:00,0.05,0.011111111111111112,5,125,1
2012-06-25,2012-06-26T00:00:00,0.05,0.011111111111111112,5,126,3
2012-06-26,2012-06-27T00:00:00,0.05,0.011111111111111112,5,129,2
2012-06-27,2012-06-28T00:00:00,0.05,0.011111111111111112,6,131,3
2012-06-28,2012-06-29T00:00:00,0.05,0.011111111111111112,6,134,5
2012-06-29,2012-06-30T00:00:00,0.05,0.011111111111111112,6,139,2
2012-06-30,2012-07-01T00:00:00,0.05,0.011111111111111112,6,141,4
2012-07-01,2012-07-02T00:00:00,0.05,0.011111111111111112,6,145,8
2012-07-02,2012-07-03T00:00:00,0.05,0.011111111111111112,6,153,4
2012-07-03,2012-07-04T00:00:00,0.05,0.011111111111111112,6,157,4
2012-07-04,2012-07-05T00:00:00,0.05,0.011111111111111112,7,161,3
2012-07-05,2012-07-06T00:00:00,0.05,0.011111111111111112,7,164,1
2012-07-06,2012-07-07T00:00:00,0.05,0.011111111111111112,7,165,2
2012-07-07,2012-07-08T00:00:00,0.05,0.011111111111111112,7,167,3
2012-07-08,2012-07-09T00:00:00,0.05,0.011111111111111112,7,170,2
2012-07-09,2012-07-10T00:00:00,0.05,0.011111111111111112,7,172,6
2012-07-10,2012-07-11T00:00:00,0.05,0.011111111111111112,7,178,3
2012-07-11,2012-07-12T00:00:00,0.05,0.011111111111111112,8,181,2
2012-07-12,2012-07-13T00:00:00,0.05,0.011111111111111112,8,183,5
2012-07-13,2012-07-14T00:00:00,0.05,0.011111111111111112,8,188,3
2012-07-14,2012-07-15T00:00:00,0.05,0.011111111111111112,8,191,6
2012-07-15,2012-07-16T00:00:00,0.05,0.011111111111111112,8,197,4
2012-07-16,2012-07-17T00:00:00,0.05,0.011111111111111112,8,201,3
2012-07-17,2012-07-18T00:00:00,0.05,0.011111111111111112,8,204,3
2012-07-18,2012-07-19T00:00:00,0.05,0.011111111111111112,9,207,4
2012-07-19,2012-07-20T00:00:00,0.05,0.011111111111111112,9,211,2
2012-07-20,2012-07-21T00:00:00,0.05,0.011111111111111112,9,213,5
2012-07-21,2012-07-22T00:00:00,0.05,0.011111111111111112,9,218,2
2012-07-22,2012-07-23T00:00:00,0.05,0.011111111111111112,9,220,2
2012-07-23,2012-07-24T00:00:00,0.05,0.011111111111111112,9,222,2
2012-07-24,2012-07-25T00:00:00,0.05,0.011111111111111112,9,224,2
2012-07-25,2012-07-26T00:00:00,0.05,0.011111111111111112,10,226,5
2012-07-26,2012-07-27T00:00:00,0.05,0.011111111111111112,10,231,5
2012-07-27,2012-07-28T00:00:00,0.05,0.011111111111111112,10,236,4
2012-07-28,2012-07-29T00:00:00,0.05,0.011111111111111112,10,240,5
2012-07-29,2012-07-30T00:00:00,0.05,0.011111111111111112,10,245,6
2012-07-30,2012-07-31T00:00:00,0.05,0.011111111111111112,10,251,3
2012-07-31,2012-08-01T00:00:00,0.05,0.011111111111111112,10,254,2
2012-08-01,2012-08-02T00:00:00,0.05,0.011111111111111112,11,256,6
2012-08-02,2012-08-03T00:00:00,0.05,0.011111111111111112,11,262,3
2012-08-03,2012-08-04T00:00:00,0.05,0.011111111111111112,11,265,1
2012-08-04,2012-08-05T00:00:00,0.05,0.011111111111111112,11,266,2
2012-08-05,2012-08-06T00:00:00,0.05,0.011111111111111112,11,268,3
2012-08-06,2012-08-07T00:00:00,0.05,0.011111111111111112,11,271,1
2012-08-07,2012-08-08T00:00:00,0.05,0.011111111111111112,11,272,3
2012-08-08,2012-08-09T00:00:00,0.05,0.011111111111111112,12,275,3
2012-08-09,2012-08-10T00:00:00,0.05,0.011111111111111112,12,278,3
2012-08-10,2012-08-11T00:00:00,0.05,0.011111111111111112,12,281,2
2012-08-11,2012-08-12T00:00:00,0.05,0.011111111111111112,12,283,3
2012-08-12,2012-08-13T00:00:00,0.05,0.011111111111111112,12,286,4
2012-08-13,2012-08-14T00:00:00,0.05,0.011111111111111112,12,290,2
2012-08-14,2012-08-15T00:00:00,0.05,0.011111111111111112,12,292,2
2012-08-15,2012-08-16T00:00:00,0.05,0.011111111111111112,13,294,2
2012-08-16,2012-08-17T00:00:00,0.05,0.011111111111111112,13,296,5
2012-08-17,2012-08-18T00:00:00,0.05,0.011111111111111112,13,301,2
2012-08-18,2012-08-19T00:00:00,0.05,0.011111111111111112,13,303,2
2012-08-19,2012-08-20T00:00:00,0.05,0.011111111111111112,13,305,0
2012-08-20,2012-08-21T00:00:00,0.05,0.011111111111111112,13,305,2
2012-08-21,2012-08-22T00:00:00,0.05,0.011111111111111112,13,307,1
2012-08-22,2012-08-23T00:00:00,0.05,0.011111111111111112,14,308,4
2012-08-23,2012-08-24T00:00:00,0.05,0.011111111111111112,14,312,8
2012-08-24,2012-08-25T00:00:00,0.05,0.011111111111111112,14,320,7
2012-08-25,2012-08-26T00:00:00,0.05,0.011111111111111112,14,327,2
2012-08-26,2012-08-27T00:00:00,0.05,0.011111111111111112,14,329,2
2012-08-27,2012-08-28T00:00:00,0.05,0.011111111111111112,14,331,5
2012-08-28,2012-08-29T00:00:00,0.05,0.011111111111111112,14,336,1
2012-08-29,2012-08-30T00:00:00,0.05,0.011111111111111112,15,337,3
2012-08-30,2012-08-31T00:00:00,0.05,0.011111111111111112,15,340,4
2012-08-31,2012-09-01T00:00:00,0.05,0.011111111111111112,15,344,3
2012-09-01,2012-09-02T00:00:00,0.05,0.011111111111111112,15,347,2
2012-09-02,2012-09-03T00:00:00,0.05,0.011111111111111112,15,349,7
2012-09-03,2012-09-04T00:00:00,0.05,0.011111111111111112,15,356,1
2012-09-04,2012-09-05T00:00:00,0.05,0.011111111111111112,15,357,1
2012-09-05,2012-09-06T00:00:00,0.05,0.011111111111111112,16,358,2
2012-09-06,2012-09-07T00:00:00,0.05,0.011111111111111112,16,360,5
2012-09-07,2012-09-08T00:00:00,0.05,0.011111111111111112,16,365,4
2012-09-08,2012-09-09T00:00:00,0.05,0.011111111111111112,16,369,3
2012-09-09,2012-09-10T00:00:00,0.05,0.011111111111111112,16,372,1
2012-09-10,2012-09-11T00:00:00,0.05,0.011111111111111112,16,373,3
2012-09-11,2012-09-12T00:00:00,0.05,0.011111111111111112,16,376,4
2012-09-12,2012-09-13T00:00:00,0.05,0.011111111111111112,17,380,3
2012-09-13,2012-09-14T00:00:00,0.05,0.011111111111111112,17,383,1
2012-09-14,2012-09-15T00:00:00,0.05,0.011111111111111112,17,384,5
2012-09-15,2012-09-16T00:00:00,0.05,0.011111111111111112,17,389,6
2012-09-16,2012-09-17T00:00:00,0.05,0.011111111111111112,17,395,0
2012-09-17,2012-09-18T00:00:00,0.05,0.011111111111111112,17,395,2
2012-09-18,2012-09-19T00:00:00,0.05,0.011111111111111112,17,397,3
2012-09-19,2012-09-20T00:00:00,0.05,0.011111111111111112,18,400,3
2012-09-20,2012-09-21T00:00:00,0.05,0.011111111111111112,18,403,3
2012-09-21,2012-09-22T00:00:00,0.05,0.011111111111111112,18,406,4
2012-09-22,2012-09-23T00:00:00,0.05,0.011111111111111112,18,410,0
