forecast_date,display_time,theta,omega,refits,state_updates,actual_events_in_window
2012-05-16,2012-05-17T00:00:00,0.05,0.011111111111111112,0,0,1
2012-05-17,2012-05-18T00:00:00,0.05,0.011111111111111112,0,1,0
2012-05-18,2012-05-19T00:00:00,0.05,0.011111111111111112,0,1,1
2012-05-19,2012-05-20T00:00:00,0.05,0.011111111111111112,0,2,1
2012-05-20,2012-05-21T00:00:00,0.05,0.011111111111111112,0,3,1
2012-05-21,2012-05-22T00:00:00,0.05,0.011111111111111112,0,4,2
2012-05-22,2012-05-23T00:00:00,0.05,0.011111111111111112,0,6,2
2012-05-23,2012-05-24T00:00:00,0.05,0.011111111111111112,1,8,4
2012-05-24,2012-05-25T00:00:00,0.05,0.011111111111111112,1,12,0
2012-05-25,2012-05-26T00:00:00,0.05,0.011111111111111112,1,12,2
2012-05-26,2012-05-27T00:00:00,0.05,0.011111111111111112,1,14,2
2012-05-27,2012-05-28T00:00:00,0.05,0.011111111111111112,1,16,0
2012-05-28,2012-05-29T00:00:00,0.05,0.011111111111111112,1,16,1
2012-05-29,2012-05-30T00:00:00,0.05,0.011111111111111112,1,17,4
2012-05-30,2012-05-31T00:00:00,0.05,0.011111111111111112,2,21,4
2012-05-31,2012-06-01T00:00:00,0.05,0.011111111111111112,2,25,2
2012-06-01,2012-06-02T00:00:00,0.05,0.011111111111111112,2,27,4
2012-06-02,2012-06-03T00:00:00,0.05,0.011111111111111112,2,31,4
2012-06-03,2012-06-04T00:00:00,0.05,0.011111111111111112,2,35,0
2012-06-04,2012-06-05T00:00:00,0.05,0.011111111111111112,2,35,4
2012-06-05,2012-06-06T00:00:00,0.05,0.011111111111111112,2,39,2
2012-06-06,2012-06-07T00:00:00,0.05,0.011111111111111112,3,41,2
2012-06-07,2012-06-08T00:00:00,0.05,0.011111111111111112,3,43,1
2012-06-08,2012-06-09T00:00:00,0.05,0.011111111111111112,3,44,1
2012-06-09,2012-06-10T00:00:00,0.05,0.011111111111111112,3,45,2
2012-06-10,2012-06-11T00:00:00,0.05,0.011111111111111112,3,47,0
2012-06-11,2012-06-12T00:00:00,0.05,0.011111111111111112,3,47,6
2012-06-12,2012-06-13T00:00:00,0.05,0.011111111111111112,3,53,3
2012-06-13,2012-06-14T00:00:00,0.05,0.011111111111111112,4,56,0
2012-06-14,2012-06-15T00:00:00,0.05,0.011111111111111112,4,56,4
2012-06-15,2012-06-16T00:00:00,0.05,0.011111111111111112,4,60,2
2012-06-16,2012-06-17T00:00:00,0.05,0.011111111111111112,4,62,0
2012-06-17,2012-06-18T00:00:00,0.05,0.011111111111111112,4,62,2
2012-06-18,2012-06-19T00:00:00,0.05,0.011111111111111112,4,64,4
2012-06-19,2012-06-20T00:00:00,0.05,0.011111111111111112,4,68,3
2012-06-20,2012-06-21T00:00:00,0.05,0.011111111111111112,5,71,3
2012-06-21,2012-06-22T00:00:00,0.05,0.011111111111111112,5,74,3
2012-06-22,2012-06-23T00:00:00,0.05,0.011111111111111112,5,77,1
2012-06-23,2012-06-24T00:00:00,0.05,0.011111111111111112,5,78,2
2012-06-24,2012-06-25T00:00:00,0.05,0.011111111111111112,5,80,0
2012-06-25,2012-06-26T00:00:00,0.05,0.011111111111111112,5,80,0
2012-06-26,2012-06-27T00:00:00,0.05,0.011111111111111112,5,80,1
2012-06-27,2012-06-28T00:00:00,0.05,0.011111111111111112,6,81,2
2012-06-28,2012-06-29T00:00:00,0.05,0.011111111111111112,6,83,0
2012-06-29,2012-06-30T00:00:00,0.05,0.011111111111111112,6,83,2
2012-06-30,2012-07-01T00:00:00,0.05,0.011111111111111112,6,85,2
2012-07-01,2012-07-02T00:00:00,0.05,0.011111111111111112,6,87,2
2012-07-02,2012-07-03T00:00:00,0.05,0.011111111111111112,6,89,1
2012-07-03,2012-07-04T00:00:00,0.05,0.011111111111111112,6,90,0
2012-07-04,2012-07-05T00:00:00,0.05,0.011111111111111112,7,90,3
2012-07-05,2012-07-06T00:00:00,0.05,0.011111111111111112,7,93,3
2012-07-06,2012-07-07T00:00:00,0.05,0.011111111111111112,7,96,1
2012-07-07,2012-07-08T00:00:00,0.05,0.011111111111111112,7,97,1
2012-07-08,2012-07-09T00:00:00,0.05,0.011111111111111112,7,98,4
2012-07-09,2012-07-10T00:00:00,0.05,0.011111111111111112,7,102,0
2012-07-10,2012-07-11T00:00:00,0.05,0.011111111111111112,7,102,1
2012-07-11,2012-07-12T00:00:00,0.05,0.011111111111111112,8,103,3
2012-07-12,2012-07-13T00:00:00,0.05,0.011111111111111112,8,106,1
2012-07-13,2012-07-14T00:00:00,0.05,0.011111111111111112,8,107,4
2012-07-14,2012-07-15T00:00:00,0.05,0.011111111111111112,8,111,0
2012-07-15,2012-07-16T00:00:00,0.05,0.011111111111111112,8,111,1
2012-07-16,2012-07-17T00:00:00,0.05,0.011111111111111112,8,112,2
2012-07-17,2012-07-18T00:00:00,0.05,0.011111111111111112,8,114,0
2012-07-18,2012-07-19T00:00:00,0.05,0.011111111111111112,9,114,5
2012-07-19,2012-07-20T00:00:00,0.05,0.011111111111111112,9,119,3
2012-07-20,2012-07-21T00:00:00,0.05,0.011111111111111112,9,122,5
2012-07-21,2012-07-22T00:00:00,0.05,0.011111111111111112,9,127,5
2012-07-22,2012-07-23T00:00:00,0.05,0.011111111111111112,9,132,2
2012-07-23,2012-07-24T00:00:00,0.05,0.011111111111111112,9,134,1
2012-07-24,2012-07-25T00:00:00,0.05,0.011111111111111112,9,135,2
2012-07-25,2012-07-26T00:00:00,0.05,0.011111111111111112,10,137,1
2012-07-26,2012-07-27T00:00:00,0.05,0.011111111111111112,10,138,2
