forecast_date,display_time,theta,omega,refits,state_updates,actual_events_in_window
2012-05-16,2012-05-17T00:00:00,0.05,0.011111111111111112,0,0,0
2012-05-17,2012-05-18T00:00:00,0.05,0.011111111111111112,0,0,2
2012-05-18,2012-05-19T00:00:00,0.05,0.011111111111111112,0,2,3
2012-05-19,2012-05-20T00:00:00,0.05,0.011111111111111112,0,5,1
2012-05-20,2012-05-21T00:00:00,0.05,0.011111111111111112,0,6,2
2012-05-21,2012-05-22T00:00:00,0.05,0.011111111111111112,0,8,4
2012-05-22,2012-05-23T00:00:00,0.05,0.011111111111111112,0,12,2
2012-05-23,2012-05-24T00:00:00,0.05,0.011111111111111112,1,14,2
2012-05-24,2012-05-25T00:00:00,0.05,0.011111111111111112,1,16,6
2012-05-25,2012-05-26T00:00:00,0.05,0.011111111111111112,1,22,3
2012-05-26,2012-05-27T00:00:00,0.05,0.011111111111111112,1,25,2
2012-05-27,2012-05-28T00:00:00,0.05,0.011111111111111112,1,27,3
2012-05-28,2012-05-29T00:00:00,0.05,0.011111111111111112,1,30,0
2012-05-29,2012-05-30T00:00:00,0.05,0.011111111111111112,1,30,4
2012-05-30,2012-05-31T00:00:00,0.05,0.011111111111111112,2,34,0
2012-05-31,2012-06-01T00:00:00,0.05,0.011111111111111112,2,34,4
2012-06-01,2012-06-02T00:00:00,0.05,0.011111111111111112,2,38,4
2012-06-02,2012-06-03T00:00:00,0.05,0.011111111111111112,2,42,3
2012-06-03,2012-06-04T00:00:00,0.05,0.011111111111111112,2,45,3
2012-06-04,2012-06-05T00:00:00,0.05,0.011111111111111112,2,48,1
2012-06-05,2012-06-06T00:00:00,0.05,0.011111111111111112,2,49,0
2012-06-06,2012-06-07T00:00:00,0.05,0.011111111111111112,3,49,5
2012-06-07,2012-06-08T00:00:00,0.05,0.011111111111111112,3,54,2
2012-06-08,2012-06-09T00:00:00,0.05,0.011111111111111112,3,56,0
2012-06-09,2012-06-10T00:00:00,0.05,0.011111111111111112,3,56,3
2012-06-10,2012-06-11T00:00:00,0.05,0.011111111111111112,3,59,4
2012-06-11,2012-06-12T00:00:00,0.05,0.011111111111111112,3,63,1
2012-06-12,2012-06-13T00:00:00,0.05,0.011111111111111112,3,64,3
2012-06-13,2012-06-14T00:00:00,0.05,0.011111111111111112,4,67,2
2012-06-14,2012-06-15T00:00:00,0.05,0.011111111111111112,4,69,1
2012-06-15,2012-06-16T00:00:00,0.05,0.011111111111111112,4,70,5
2012-06-16,2012-06-17T00:00:00,0.05,0.011111111111111112,4,75,4
2012-06-17,2012-06-18T00:00:00,0.05,0.011111111111111112,4,79,1
2012-06-18,2012-06-19T00:00:00,0.05,0.011111111111111112,4,80,2
2012-06-19,2012-06-20T00:00:00,0.05,0.011111111111111112,4,82,3
2012-06-20,2012-06-21T00:00:00,0.05,0.011111111111111112,5,85,2
2012-06-21,2012-06-22T00:00:00,0.05,0.011111111111111112,5,87,3
2012-06-22,2012-06-23T00:00:00,0.05,0.011111111111111112,5,90,4
2012-06-23,2012-06-24T00:00:00,0.05,0.011111111111111112,5,94,1
2012-06-24,2012-06-25T00:00:00,0.05,0.011111111111111112,5,95,3
2012-06-25,2012-06-26T00:00:00,0.05,0.011111111111111112,5,98,2
2012-06-26,2012-06-27T00:00:00,0.05,0.011111111111111112,5,100,2
2012-06-27,2012-06-28T00:00:00,0.05,0.011111111111111112,6,102,5
