forecast_date,display_time,theta,omega,refits,state_updates,actual_events_in_window
2012-05-16,2012-05-17T00:00:00,0.05,0.011111111111111112,0,0,1
2012-05-17,2012-05-18T00:00:00,0.05,0.011111111111111112,0,1,0
2012-05-18,2012-05-19T00:00:00,0.05,0.011111111111111112,0,1,0
2012-05-19,2012-05-20T00:00:00,0.05,0.011111111111111112,0,1,3
2012-05-20,2012-05-21T00:00:00,0.05,0.011111111111111112,0,4,1
2012-05-21,2012-05-22T00:00:00,0.05,0.011111111111111112,0,5,4
2012-05-22,2012-05-23T00:00:00,0.05,0.011111111111111112,0,9,1
2012-05-23,2012-05-24T00:00:00,0.05,0.011111111111111112,1,10,4
2012-05-24,2012-05-25T00:00:00,0.05,0.011111111111111112,1,14,2
2012-05-25,2012-05-26T00:00:00,0.05,0.011111111111111112,1,16,2
2012-05-26,2012-05-27T00:00:00,0.05,0.011111111111111112,1,18,1
2012-05-27,2012-05-28T00:00:00,0.05,0.011111111111111112,1,19,6
2012-05-28,2012-05-29T00:00:00,0.05,0.011111111111111112,1,25,1
2012-05-29,2012-05-30T00:00:00,0.05,0.011111111111111112,1,26,5
2012-05-30,2012-05-31T00:00:00,0.05,0.011111111111111112,2,31,3
2012-05-31,2012-06-01T00:00:00,0.05,0.011111111111111112,2,34,3
2012-06-01,2012-06-02T00:00:00,0.05,0.011111111111111112,2,37,1
2012-06-02,2012-06-03T00:00:00,0.05,0.011111111111111112,2,38,1
2012-06-03,2012-06-04T00:00:00,0.05,0.011111111111111112,2,39,1
2012-06-04,2012-06-05T00:00:00,0.05,0.011111111111111112,2,40,3
2012-06-05,2012-06-06T00:00:00,0.05,0.011111111111111112,2,43,0
2012-06-06,2012-06-07T00:00:00,0.05,0.011111111111111112,3,43,4
2012-06-07,2012-06-08T00:00:00,0.05,0.011111111111111112,3,47,3
2012-06-08,2012-06-09T00:00:00,0.05,0.011111111111111112,3,50,2
2012-06-09,2012-06-10T00:00:00,0.05,0.011111111111111112,3,52,0
2012-06-10,2012-06-11T00:00:00,0.05,0.011111111111111112,3,52,1
2012-06-11,2012-06-12T00:00:00,0.05,0.011111111111111112,3,53,3
2012-06-12,2012-06-13T00:00:00,0.05,0.011111111111111112,3,56,3
2012-06-13,2012-06-14T00:00:00,0.05,0.011111111111111112,4,59,1
2012-06-14,2012-06-15T00:00:00,0.05,0.011111111111111112,4,60,1
2012-06-15,2012-06-16T00:00:00,0.05,0.011111111111111112,4,61,3
2012-06-16,2012-06-17T00:00:00,0.05,0.011111111111111112,4,64,3
2012-06-17,2012-06-18T00:00:00,0.05,0.011111111111111112,4,67,0
2012-06-18,2012-06-19T00:00:00,0.05,0.011111111111111112,4,67,0
2012-06-19,2012-06-20T00:00:00,0.05,0.011111111111111112,4,67,1
2012-06-20,2012-06-21T00:00:00,0.05,0.011111111111111112,5,68,0
2012-06-21,2012-06-22T00:00:00,0.05,0.011111111111111112,5,68,4
2012-06-22,2012-06-23T00:00:00,0.05,0.011111111111111112,5,72,5
2012-06-23,2012-06-24T00:00:00,0.05,0.011111111111111112,5,77,4
2012-06-24,2012-06-25T00:00:00,0.05,0.011111111111111112,5,81,2
2012-06-25,2012-06-26T00:00:00,0.05,0.011111111111111112,5,83,4
2012-06-26,2012-06-27T00:00:00,0.05,0.011111111111111112,5,87,1
2012-06-27,2012-06-28T00:00:00,0.05,0.011111111111111112,6,88,1
2012-06-28,2012-06-29T00:00:00,0.05,0.011111111111111112,6,89,0
2012-06-29,2012-06-30T00:00:00,0.05,0.011111111111111112,6,89,1
2012-06-30,2012-07-01T00:00:00,0.05,0.011111111111111112,6,90,3
2012-07-01,2012-07-02T00:00:00,0.05,0.011111111111111112,6,93,4
2012-07-02,2012-07-03T00:00:00,0.05,0.011111111111111112,6,97,0
2012-07-03,2012-07-04T00:00:00,0.05,0.011111111111111112,6,97,4
2012-07-04,2012-07-05T00:00:00,0.05,0.011111111111111112,7,101,3
2012-07-05,2012-07-06T00:00:00,0.05,0.011111111111111112,7,104,1
2012-07-06,2012-07-07T00:00:00,0.05,0.011111111111111112,7,105,0
2012-07-07,2012-07-08T00:00:00,0.05,0.011111111111111112,7,105,3
2012-07-08,2012-07-09T00:00:00,0.05,0.011111111111111112,7,108,1
2012-07-09,2012-07-10T00:00:00,0.05,0.011111111111111112,7,109,1
2012-07-10,2012-07-11T00:00:00,0.05,0.011111111111111112,7,110,4
2012-07-11,2012-07-12T00:00:00,0.05,0.011111111111111112,8,114,4
2012-07-12,2012-07-13T00:00:00,0.05,0.011111111111111112,8,118,4
2012-07-13,2012-07-14T00:00:00,0.05,0.011111111111111112,8,122,5
2012-07-14,2012-07-15T00:00:00,0.05,0.011111111111111112,8,127,1
2012-07-15,2012-07-16T00:00:00,0.05,0.011111111111111112,8,128,2
2012-07-16,2012-07-17T00:00:00,0.05,0.011111111111111112,8,130,1
2012-07-17,2012-07-18T00:00:00,0.05,0.011111111111111112,8,131,1
2012-07-18,2012-07-19T00:00:00,0.05,0.011111111111111112,9,132,1
2012-07-19,2012-07-20T00:00:00,0.05,0.011111111111111112,9,133,1
2012-07-20,2012-07-21T00:00:00,0.05,0.011111111111111112,9,134,1
2012-07-21,2012-07-22T00:00:00,0.05,0.011111111111111112,9,135,3
2012-07-22,2012-07-23T00:00:00,0.05,0.011111111111111112,9,138,3
2012-07-23,2012-07-24T00:00:00,0.05,0.011111111111111112,9,141,3
2012-07-24,2012-07-25T00:00:00,0.05,0.011111111111111112,9,144,3
2012-07-25,2012-07-26T00:00:00,0.05,0.011111111111111112,10,147,3
2012-07-26,2012-07-27T00:00:00,0.05,0.011111111111111112,10,150,1
